timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1562146729317,607,GET LogIn Page,200,OK,TCJ_1_LogIn 1-1,text,true,,5018,514,1,1,http://499.wordpress.imunify.local/wp-login.php?redirect_to=http%3A%2F%2F499.wordpress.imunify.local%2Fwp-admin%2Fabout.php&reauth=1,606,0,55
1562146730632,1289,LOG IN,200,OK,TCJ_1_LogIn 1-1,text,true,,38469,1603,2,2,http://499.wordpress.imunify.local/wp-admin/about.php,549,0,0
1562146729892,549,LOG IN-0,302,Moved Temporarily,TCJ_1_LogIn 1-1,text,true,,1141,712,2,2,http://499.wordpress.imunify.local/wp-login.php,549,0,0
1562146730632,737,LOG IN-1,200,OK,TCJ_1_LogIn 1-1,text,true,,37328,891,2,2,http://499.wordpress.imunify.local/wp-admin/about.php,737,0,0
1562146731188,571,GET LogIn Page,200,OK,TCJ_1_LogIn 1-2,text,true,,5018,514,1,1,http://499.wordpress.imunify.local/wp-login.php?redirect_to=http%3A%2F%2F499.wordpress.imunify.local%2Fwp-admin%2Fabout.php&reauth=1,571,0,24
1562146732518,1315,LOG IN,200,OK,TCJ_1_LogIn 1-2,text,true,,38469,1603,1,1,http://499.wordpress.imunify.local/wp-admin/about.php,576,0,0
1562146731779,576,LOG IN-0,302,Moved Temporarily,TCJ_1_LogIn 1-2,text,true,,1141,712,1,1,http://499.wordpress.imunify.local/wp-login.php,576,0,0
1562146732518,737,LOG IN-1,200,OK,TCJ_1_LogIn 1-2,text,true,,37328,891,1,1,http://499.wordpress.imunify.local/wp-admin/about.php,737,0,0
1562146733183,567,GET LogIn Page,200,OK,TCJ_1_LogIn 1-3,text,true,,5018,514,1,1,http://499.wordpress.imunify.local/wp-login.php?redirect_to=http%3A%2F%2F499.wordpress.imunify.local%2Fwp-admin%2Fabout.php&reauth=1,567,0,24
1562146734396,1199,LOG IN,200,OK,TCJ_1_LogIn 1-3,text,true,,38469,1603,1,1,http://499.wordpress.imunify.local/wp-admin/about.php,542,0,0
1562146733739,542,LOG IN-0,302,Moved Temporarily,TCJ_1_LogIn 1-3,text,true,,1141,712,1,1,http://499.wordpress.imunify.local/wp-login.php,542,0,0
1562146734396,655,LOG IN-1,200,OK,TCJ_1_LogIn 1-3,text,true,,37328,891,1,1,http://499.wordpress.imunify.local/wp-admin/about.php,655,0,0
1562146735174,554,GET LogIn Page,200,OK,TCJ_1_LogIn 1-4,text,true,,5018,514,1,1,http://499.wordpress.imunify.local/wp-login.php?redirect_to=http%3A%2F%2F499.wordpress.imunify.local%2Fwp-admin%2Fabout.php&reauth=1,553,0,25
1562146736368,1183,LOG IN,200,OK,TCJ_1_LogIn 1-4,text,true,,38469,1603,1,1,http://499.wordpress.imunify.local/wp-admin/about.php,512,0,0
1562146735697,512,LOG IN-0,302,Moved Temporarily,TCJ_1_LogIn 1-4,text,true,,1141,712,1,1,http://499.wordpress.imunify.local/wp-login.php,512,0,0
1562146736368,669,LOG IN-1,200,OK,TCJ_1_LogIn 1-4,text,true,,37328,891,1,1,http://499.wordpress.imunify.local/wp-admin/about.php,669,0,0
1562146737193,565,GET LogIn Page,200,OK,TCJ_1_LogIn 1-5,text,true,,5018,514,1,1,http://499.wordpress.imunify.local/wp-login.php?redirect_to=http%3A%2F%2F499.wordpress.imunify.local%2Fwp-admin%2Fabout.php&reauth=1,565,0,24
1562146738431,1227,LOG IN,200,OK,TCJ_1_LogIn 1-5,text,true,,38469,1603,1,1,http://499.wordpress.imunify.local/wp-admin/about.php,544,0,0
1562146737748,544,LOG IN-0,302,Moved Temporarily,TCJ_1_LogIn 1-5,text,true,,1141,712,1,1,http://499.wordpress.imunify.local/wp-login.php,544,0,0
1562146738431,682,LOG IN-1,200,OK,TCJ_1_LogIn 1-5,text,true,,37328,891,1,1,http://499.wordpress.imunify.local/wp-admin/about.php,682,0,0
1562146739625,1007,GET LogIn Page,200,OK,TCJ_1_LogIn 1-6,text,true,,5018,514,1,1,http://499.wordpress.imunify.local/wp-login.php?redirect_to=http%3A%2F%2F499.wordpress.imunify.local%2Fwp-admin%2Fabout.php&reauth=1,1007,0,24
1562146741420,1784,LOG IN,200,OK,TCJ_1_LogIn 1-6,text,true,,38469,1603,2,2,http://499.wordpress.imunify.local/wp-admin/about.php,725,0,0
1562146740361,725,LOG IN-0,302,Moved Temporarily,TCJ_1_LogIn 1-6,text,true,,1141,712,2,2,http://499.wordpress.imunify.local/wp-login.php,725,0,0
1562146741420,1058,LOG IN-1,200,OK,TCJ_1_LogIn 1-6,text,true,,37328,891,2,2,http://499.wordpress.imunify.local/wp-admin/about.php,1058,0,0
1562146741602,979,GET LogIn Page,200,OK,TCJ_1_LogIn 1-7,text,true,,5018,514,1,1,http://499.wordpress.imunify.local/wp-login.php?redirect_to=http%3A%2F%2F499.wordpress.imunify.local%2Fwp-admin%2Fabout.php&reauth=1,979,0,28
