timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733045789925,825,GET joke,200,,api.chucknorris 1-1,text,true,,1395,132,1,1,https://api.chucknorris.io/jokes/random,817,0,636
1733045790760,247,GET joke,200,,api.chucknorris 1-1,text,true,,1497,132,1,1,https://api.chucknorris.io/jokes/random,246,0,138
1733045791010,367,GET joke,200,,api.chucknorris 1-1,text,true,,1451,132,1,1,https://api.chucknorris.io/jokes/random,366,0,128
1733045791380,249,GET joke,200,,api.chucknorris 1-1,text,true,,1423,132,1,1,https://api.chucknorris.io/jokes/random,248,0,125
1733045791630,234,GET joke,200,,api.chucknorris 1-1,text,true,,1468,132,1,1,https://api.chucknorris.io/jokes/random,234,0,129
1733045791867,231,GET joke,200,,api.chucknorris 1-1,text,true,,1412,132,1,1,https://api.chucknorris.io/jokes/random,230,0,124
1733045792100,217,GET joke,200,,api.chucknorris 1-1,text,true,,1397,132,1,1,https://api.chucknorris.io/jokes/random,217,0,119
1733045792322,227,GET joke,200,,api.chucknorris 1-1,text,true,,1394,132,1,1,https://api.chucknorris.io/jokes/random,226,0,110
1733045792551,224,GET joke,200,,api.chucknorris 1-1,text,true,,1520,132,1,1,https://api.chucknorris.io/jokes/random,223,0,117
1733045792776,224,GET joke,200,,api.chucknorris 1-1,text,true,,1419,132,1,1,https://api.chucknorris.io/jokes/random,224,0,120
1733045793002,334,GET joke,200,,api.chucknorris 1-1,text,true,,1385,132,1,1,https://api.chucknorris.io/jokes/random,334,0,120
1733045793338,220,GET joke,200,,api.chucknorris 1-1,text,true,,1416,132,1,1,https://api.chucknorris.io/jokes/random,220,0,118
1733045793560,220,GET joke,200,,api.chucknorris 1-1,text,true,,1430,132,1,1,https://api.chucknorris.io/jokes/random,219,0,117
1733045793782,234,GET joke,200,,api.chucknorris 1-1,text,true,,1391,132,1,1,https://api.chucknorris.io/jokes/random,234,0,117
1733045794018,224,GET joke,200,,api.chucknorris 1-1,text,true,,1452,132,1,1,https://api.chucknorris.io/jokes/random,224,0,117
1733045794244,236,GET joke,200,,api.chucknorris 1-1,text,true,,1457,132,1,1,https://api.chucknorris.io/jokes/random,236,0,128
